Timestamp: 2023-11-03_11-32-44, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-45, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-46, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-47, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-49, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-50, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-51, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-52, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-53, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-54, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-55, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-56, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-57, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-58, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-32-59, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-01, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-02, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-03, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-04, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-05, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-06, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-07, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-08, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-09, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-10, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-11, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-13, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-14, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-15, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-16, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-17, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-18, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-19, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-20, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-21, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-22, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-23, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-24, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-26, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-27, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-28, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-29, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-30, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-31, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-32, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-33, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-34, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-35, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-36, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-38, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-39, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-40, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-41, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-42, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-43, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-44, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-45, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-46, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-47, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-48, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-49, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-51, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-52, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-53, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-54, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-55, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-56, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-57, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-58, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-33-59, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-00, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-01, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-02, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-04, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-05, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-06, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-07, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-08, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-09, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-10, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-11, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-12, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-13, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-14, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-15, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-17, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-18, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-19, Exposure Time: 1995.0
